symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
3414	myopia	Myopia	18	C0027092	Myopia	UMLS_API		a refractive error in which rays of light entering the eye parallel to the optic axis are brought to a focus in front of the retina, as a result of the eyeball being too long from front to back; also called nearsightedness because the near point is less distant than it is in emmetropia with an equal amplitude of accommodation.	nearsightedness or having difficulty seeing distant objects.  Myopia is a refractive error in which light rays entering the eye are bent too much by the cornea and lens, causing objects to be seen clearly only when they are close to the eye.
3415	cerebralarterythrombosis	Cerebral artery thrombosis	18						A cerebral artery thrombosis is a blood clot that forms in an artery supplying blood to the brain. This can cause a stroke.
3416	necrosis	Necrosis	18	C0027540	Necrosis	UMLS_API		sum of the morphological changes indicative of cell death and caused by the progressive degradation action of enzymes; may affect groups of cells or part of a structure or an organ.	The localized death of cells in an organ or tissue due to causes other than normal functioning.
3417	angularcheilitis	Angular cheilitis	18	C0221237	Angular cheilitis	UMLS_API		Inflammation of the skin at the corners of the mouth characterized by redness, fissures or crusts.	:  Cracked lips that are red and inflamed, typically on the corners of the mouth.
3418	pulmonaryvasculardisorder	Pulmonary vascular disorder	18	C0854416	Pulmonary vascular disorder	UMLS_API		A category of non-neoplastic disorders that affect the blood vessels in the lungs.	A pulmonary vascular disorder is a problem with the blood circulatory system in the lungs. This can cause difficulty breathing, chest pain, and other symptoms.
3419	scarpain	Scar pain	18	C0877113	scar pain	METAMAP_STRING_MATCH			any pain felt in the area where a previous injury has led to the development of a scar.  Scar pain can vary in intensity and may be sporadic or constant. The cause of scar pain is often difficult to determine, and may be a result of the scar itself, adjacent tissues, or embedded nerve endings. Treatment may include medications, physical therapy, or surgery.
3420	haemorrhagictransformationstroke	Haemorrhagic transformation stroke	18	C1096400	Haemorrhagic transformation stroke	UMLS_API			A type of stroke that occurs when a blood vessel in the brain leaks or bursts. This can cause bleeding in the brain and can lead to significant disability or death.
3421	patientuncooperative	Patient uncooperative	18	C0747308	Patient uncooperative	UMLS_API			A patient who is uncooperative is difficult to work with or unwilling to comply with treatment.
3422	defaecationdisorder	Defaecation disorder	18	C3825420	Defaecation disorder	UMLS_API			a medical condition in which a person has difficulty controlling urination and defecation.  There are several types of defaecation disorder, including:  - Anal fissure: A small tear in the skin around the opening of the anus. This can cause pain and bleeding during bowel movements. - Anal incontinence: The inability to control bowel movements, often leading to leakage of stool. - Bowel incontinence: The involuntary release of stool, even when the rectum is empty. - Fecal incontinence: The involuntary release of feces, often due to a lack
3423	galactostasis	Galactostasis	18	C1261963	Galactostasis	UMLS_API			the accumulation of fluid in the breasts.
3424	oesophagealdiscomfort	Oesophageal discomfort	18	C1096082	Oesophageal discomfort	UMLS_API			A feeling of burning or pain in the oesophagus (the tube that carries food from your mouth to your stomach).
3425	jawclicking	Jaw clicking	18	C2057703	Jaw clicking	UMLS_API			A clicking noise made when the temporomandibular joint (TMJ) rubs against the bones that it connects, as when yawning, stretching, or opening the mouth wide.
3426	prohormonebrainnatriureticpeptide	Prohormone brain natriuretic peptide	18	C4087252	Prohormone brain natriuretic peptide	UMLS_API			Prohormone brain natriuretic peptide is a hormone that is released by the brain in response to stress or after eating a large meal. It helps to reduce the amount of sodium in the body by increasing urine production.
3427	negativethoughts	Negative thoughts	18	C1142075	Negative thoughts	UMLS_API			Thoughts that make you feel bad, including worries and doubts about yourself, your abilities, and your future.
3428	bilirubinurinepresent	Bilirubin urine present	18	C4087152	Bilirubin urine present	UMLS_API			a urine sample that tests positive for bilirubin.  Bilirubin is a yellow pigment that is found in the blood. It is produced when the liver breaks down red blood cells. Bilirubin can also be found in the urine. A urine sample that tests positive for bilirubin can be a sign of a liver disorder.
3429	hypertonicbladder	Hypertonic bladder	18	C0878773	Overactive Bladder	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.45	Overactive bladder is a condition in which the bladder squeezes urine out at the wrong time.	a bladder that is unable to completely empty because of a high muscle tone in the bladderwall
3430	chondrocalcinosispyrophosphate	Chondrocalcinosis pyrophosphate	18	C0034320	Diphosphates	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	10.13	Inorganic salts of phosphoric acid that contain two phosphate groups.	A condition characterized by the presence of calcium phosphate crystals in the cartilage, usually in the joints.
3431	tri-iodothyroninefreenormal	Tri-iodothyronine free normal	18	C0861038	Tri-iodothyronine free normal	UMLS_API			"This is a definition of Tri-iodothyronine free normal, a term used in medical science. Tri-iodothyronine (T3) is a thyroid hormone that is produced by the thyroid gland. A ""normal"" level of T3 indicates that a person's thyroid gland is functioning properly."
3432	ultrasoundeye	Ultrasound eye	18						A form of energy that is directed onto the eyes, typically used to improve vision.
3433	numbchinsyndrome	Numb chin syndrome	18	C1868745	Numb chin syndrome	UMLS_API			a rare condition that results in a loss of sensation on the underside of the chin.  The cause of numb chin syndrome is unknown, but it may be due to a problem with the nerves that supply sensation to the chin. Some possible causes of numb chin syndrome include:  -Aging -Injury -Nerve compression -A tumor or cyst -A blood clot -Dental problems
3434	hyperbilirubinaemia	Hyperbilirubinaemia	18						a condition in which there is an increase in bilirubin levels in the blood.
3435	anaemiamacrocytic	Anaemia macrocytic	18						A type of anemia in which the red blood cells are larger than normal.
3436	infrequentbowelmovements	Infrequent bowel movements	18	C1167677	Infrequent bowel movements	UMLS_API		Constipation for longer than three months with fewer than 3 bowel movements per week, straining, lumpy or hard stools, and a sensation of anorectal obstruction or incomplete defecation.	If you have infrequent bowel movements, it means you go to the bathroom less than three times a week.
3437	legamputation	Leg amputation	18						the surgical removal of a leg.
3438	metabolicdisorder	Metabolic disorder	18						a disorder of the body's ability to produce and use energy.  There are many different metabolic disorders, some of which are more common than others. The most common metabolic disorders are diabetes, hyperthyroidism, and hypothyroidism.
3439	aorticvalvestenosis	Aortic valve stenosis	18	C0003507	Aortic Valve Stenosis	UMLS_API		constriction in the opening of the aortic valve or of the supravalvular or subvalvular regions.	a narrowing of the aortic valve opening that obstructs blood flow from the heart to the body.
3440	overweight	Overweight	18	C0497406	Overweight	UMLS_API		A condition in which an individual accumulates excessive fat for age and gender.	An excess weight that may result in health problems.
3441	haemodynamicinstability	Haemodynamic instability	18						a clinical state in which the heart is unable to pump enough blood to meet the body's metabolic demand, leading to organ dysfunction.  Haemodynamic instability is a clinical state in which the heart is unable to pump enough blood to meet the body's metabolic demand, leading to organ dysfunction.
3442	meancellhaemoglobinconcentrationincreased	Mean cell haemoglobin concentration increased	18	C0855787	Mean cell haemoglobin concentration increased	UMLS_API			A rise in the average concentration of hemoglobin within red blood cells.
3443	scintillatingscotoma	Scintillating scotoma	18						a rare visual phenomenon in which a person sees a patch of light that flickers and moves.
3444	vertebralarteryocclusion	Vertebral artery occlusion	18	C0265104	Vertebral artery occlusion	UMLS_API			A blockage in the vertebral artery, which can lead to a stroke.
3445	vocalcorddysfunction	Vocal cord dysfunction	18	C0859897	Vocal Cord Dysfunction	UMLS_API		Laryngeal abductor paralysis with inspiratory stridor, swallowing difficulty, asphyxia, and mental deficiency.	:  A disorder of the vocal cords that results in difficulty speaking.
3446	renalatrophy	Renal atrophy	18	C0341698	Renal atrophy	METAMAP_STRING_MATCH		Atrophy of the kidney.	:  The decrease in size of a kidney, usually as a result of disease or damage.
3447	drugabuse	Drug abuse	18	C0013146	Drug abuse	UMLS_API		Excessive use of habit forming medications	the use of a drug in a way that is harmful to the individual or society.  Drug abuse can include using drugs illegally, using drugs in combination with other drugs, using drugs to get high, or using drugs to feel better. Drug abuse can also include using prescription drugs in a way that is not prescribed by a doctor.
3448	wounddrainage	Wound drainage	18						the release of liquid from a wound.
3449	glomerulonephritis	Glomerulonephritis	18	C0017658	Glomerulonephritis	UMLS_API		glomerular disease characterized by an inflammatory reaction, with leukocyte infiltration and cellular proliferation of the glomeruli, or that appears to be the result of immune glomerular injury.	inflammation of the glomerular filtration membrane of the kidney.  Glomerulonephritis is a type of kidney disease that results from inflammation of the tiny structures in the kidney that filter blood. The inflammation can damage the kidneys and impair their ability to remove waste and excess water from the body.
3450	phlebitissuperficial	Phlebitis superficial	18						Inflammation of a vein, most often in the legs, that is caused by a blood clot or infection.
3451	highdensitylipoproteinincreased	High density lipoprotein increased	18	C0853084	High density lipoprotein increased	UMLS_API			A condition in which high density lipoprotein levels are abnormally high.
3452	viralmyocarditis	Viral myocarditis	18	C0276138	Viral myocarditis	UMLS_API		Myocarditis that is caused by an infection with a viral agent.	inflammation and damage of the heart muscle caused by a virus.  Viral myocarditis is a potentially fatal condition caused by a virus that attacks the heart muscle. Inflammation and damage to the heart can lead to heart failure, arrhythmias, and sudden death. The condition can occur in any age group, but is most common in young adults. Viral myocarditis is often preceded by a viral illness, such as the common cold or the flu. There is no specific cure for viral myocarditis, but early diagnosis and treatment with medications and lifestyle changes can help improve the chances of recovery.
3453	venacavathrombosis	Vena cava thrombosis	18						the obstruction of a vein by a blood clot.  There are several types of blood vessels in the body, including veins and arteries. Veins carry blood from various parts of the body back to the heart, while arteries carry oxygen-rich blood from the heart to the rest of the body.  One type of vein, the vena cava, carries blood from the lower body to the heart. If this vein becomes blocked by a blood clot, it can cause serious problems. This is known as vena cava thrombosis.  Vena cava thrombosis can cause blood to back up
3454	bloodluteinisinghormone	Blood luteinising hormone	18	C0853136	Blood luteinising hormone	UMLS_API			A hormone that is produced by the anterior pituitary gland in response to the release of gonadotropin-releasing hormone from the hypothalamus. It stimulates the production of testosterone in the testes in males and the production of progesterone and estrogen in the ovaries in females.
3455	tri-iodothyroninedecreased	Tri-iodothyronine decreased	18						a decrease in the definition of Tri-iodothyronine  Tri-iodothyronine (T3) is a hormone that is produced by the thyroid gland. Its main purpose is to regulate the body's metabolism. A decrease in the definition of Tri-iodothyronine may mean that the hormone is not being produced in the normal amounts, or that it is not functioning correctly. This can lead to a variety of health problems, including weight gain, fatigue, and depression.
3456	endometrialablation	Endometrial ablation	18						A medical procedure in which the lining of the uterus (endometrium) is destroyed.
3457	aorticdisorder	Aortic disorder	18						Aortic Disorder is a general term for a range of diseases or abnormalities affecting the aorta.
3458	anaphylaxisprophylaxis	Anaphylaxis prophylaxis	18	C0877428	Anaphylaxis prophylaxis	UMLS_API			the administration of medications, such as epinephrine, to prevent or minimize an allergic reaction.
3459	ventilation/perfusionscanabnormal	Ventilation/perfusion scan abnormal	18	C0853677	Ventilation/perfusion scan abnormal	UMLS_API			A ventilation/perfusion scan is considered abnormal if the ventilation and perfusion measurements are not within the accepted normal range.
3460	diffusealopecia	Diffuse alopecia	18	C0406458	Diffuse alopecia	UMLS_API			a type of hair loss in which hair thins out over the entire scalp.  Diffuse alopecia is a type of hair loss characterized by thinning hair over the entire scalp. It may be caused by a variety of factors, including heredity, hormones, and scalp infections.
3461	alcoholwithdrawalsyndrome	Alcohol withdrawal syndrome	18	C0236663	Alcohol withdrawal syndrome	UMLS_API		Acute alcoholic, psychotic condition characterized by intense tremors, anxiety, hallucinations, and delusions.	a set of symptoms that can occur when a person who is physically dependent on alcohol suddenly stops drinking or significantly reduces the amount of alcohol they drink.  Alcohol withdrawal syndrome can occur within a few hours after the last drink, or up to several days later. Symptoms may include sweating, shaking, anxiety, nausea, vomiting, and insomnia. In severe cases, seizures and delirium tremens (DTs) may occur.  Alcohol withdrawal syndrome is a serious condition and can be life-threatening. People who are dependent on alcohol should seek medical assistance before stopping or reducing alcohol consumption.
3462	pulmonaryarterythrombosis	Pulmonary artery thrombosis	18	C0151947	Pulmonary artery thrombosis	UMLS_API			a blood clot in the pulmonary artery.
3463	potentiatingdruginteraction	Potentiating drug interaction	18	C2242637	Potentiating drug interaction	UMLS_API			A drug interaction that increases or enhances the potency of the drugs involved.
3464	cerebellarataxia	Cerebellar ataxia	17	C0007758	Cerebellar Ataxia	UMLS_API		Incoordination of voluntary movements that occur as a manifestation of CEREBELLAR DISEASES.	A disorder that affects balance, coordination, and movement.
3465	methylenetetrahydrofolatereductasegenemutation	Methylenetetrahydrofolate reductase gene mutation	17	C3805092	Methylenetetrahydrofolate reductase gene mutation	UMLS_API			a change in the DNA sequence of the MTHFR gene that results in a change in the amino acid sequence of the MTHFR enzyme.
3466	visualacuitytestsabnormal	Visual acuity tests abnormal	17	C0854011	Visual acuity tests abnormal	UMLS_API			A visual acuity test is considered abnormal if the patient's vision is worse than 20/20.
3467	respirovirustest	Respirovirus test	17	C3888457	Respirovirus test	UMLS_API			a laboratory test used to confirm the presence of respirovirus in a sample.
3468	specificgravityurineincreased	Specific gravity urine increased	17						A condition in which the urine has a higher-than-normal specific gravity, usually a sign of dehydration.
3469	skinstriae	Skin striae	17						Striae, also called striae distensae, are a form of scarring on the skin caused by tears in the dermis. They often occur after pregnancy or weight gain, but may also be seen in Cushing's syndrome, Marfan syndrome, and other steroid-dependent conditions.
3470	anuria	Anuria	17	C0003460	Anuria	UMLS_API		Absence of urine output.	A condition characterized by an absence of urine production.
3471	capillarynailrefilltestabnormal	Capillary nail refill test abnormal	17	C2721574	Capillary nail refill test abnormal	UMLS_API			A broken or nonexistent blood capillary refill time is abnormal. It is indicative of poor circulation and possible tissue damage.
3472	csfneutrophilcountincreased	CSF neutrophil count increased	17	C1096497	CSF neutrophil count increased	UMLS_API			A CSF neutrophil count increased is when the number of neutrophils in the cerebrospinal fluid (CSF) rises. This may be due to an infection or other condition.
3473	mycobacteriumtest	Mycobacterium test	17	C1328428	Mycobacterium test	UMLS_API			of or relating to a genus of aerobic, Gram-positive, rod-shaped bacteria that cause tuberculosis and other diseases.
3474	still'sdisease	Still's disease	17						a rare form of juvenile rheumatoid arthritis seen primarily in children and young adults.  Still's disease is a form of juvenile rheumatoid arthritis. It is a rare, chronic disease that affects mainly children and young adults. The disease causes inflammation of the joints, as well as other parts of the body such as the heart, lungs, and skin. Symptoms include fever, joint pain, fatigue, and a rash. There is no cure for Still's disease, but treatment can help control the symptoms.
3475	genitalblister	Genital blister	17						A blister that forms on the genitals, typically as a result of sexual activity.
3476	histology	Histology	17	C0019638	Histology	UMLS_API		The study of tissues and cells under a microscope	the study of the microscopic structure of tissues.
3477	salmonellatestnegative	Salmonella test negative	17	C4523988	Salmonella test negative	UMLS_API			a person or object that has tested negative for the presence of Salmonella bacteria.
3478	bonecontusion	Bone contusion	17	C1390461	Bone contusion	UMLS_API			A bone contusion is an injury to the bone that does not break the skin. It is caused by a blunt force and results in a bruise.
3479	rubivirustestpositive	Rubivirus test positive	17	C2748211	Rubivirus test positive	UMLS_API			a person who has been infected with the rubella virus.
3480	hyperaemia	Hyperaemia	17						Hyperaemia is a medical term that refers to an increase in the amount of blood perfusing tissues.
3481	transientacantholyticdermatosis	Transient acantholytic dermatosis	17						A condition characterized by the sudden appearance of small, yellowish-white, painless papules on the skin, typically on the chest, back, or abdomen. The cause is unknown.
3482	allergytometals	Allergy to metals	17	C0577627	Allergy to metals	UMLS_API			an immune response to contact with metals.  Allergies to metals are caused by an immune response to contact with certain metals. Symptoms of an allergy to metals can include skin irritation, redness, swelling, and itching. In more severe cases, an allergy to metals can cause a respiratory infection or anaphylactic shock. Treatment for allergies to metals typically includes avoiding contact with the metal in question, and taking medications such as antihistamines or steroids to reduce symptoms.
3483	hypersensitivityvasculitis	Hypersensitivity vasculitis	17						A rare autoimmune condition that results in inflammation and damage to the blood vessels. This can lead to a wide range of symptoms, such as a feeling of warmth and redness in the affected area, a decrease in blood pressure, and a rash.
3484	urticarialvasculitis	Urticarial vasculitis	17	C1304408	Urticarial vasculitis	UMLS_API			:  A condition that is marked by the inflammation and damage of small blood vessels, most often in the skin. This can lead to a range of symptoms, including the development of urticarial (hives) lesions, the eruption of red or purple dots on the skin, and the destruction of blood cells.
3485	hla-b*27assay	HLA-B*27 assay	17	C4285785	HLA-B*27 assay	UMLS_API			A laboratory test to determine if a person has the genetic marker HLA-B*27, which is associated with an increased risk of developing an autoimmune disease.
3486	nasalmucosalblistering	Nasal mucosal blistering	17	C4761083	Nasal mucosal blistering	UMLS_API			A condition that results in the formation of blisters on the lining of the nose.
3487	allergytoanimal	Allergy to animal	17	C4082933	Allergy to animal	UMLS_API		Hypersensitivity in form of an adverse immune reaction against animal dander.	an allergic reaction to an animal.  An allergy is a condition that is caused by an immune system response to a foreign substance. Substances that can cause allergic reactions are known as allergens. Animal allergies are caused by an immune system response to proteins in the animal's skin, saliva, or urine. Symptoms of an animal allergy can include sneezing, coughing, itchy eyes, a runny nose, and a rash.
3488	ocularvasculardisorder	Ocular vascular disorder	17	C0948522	Ocular vascular disorder	UMLS_API		A non-neoplastic disorder that is caused by pathologic changes in the ocular vasculature.	A disorder that affects the blood vessels in and around the eyes.
3489	pharyngealhaemorrhage	Pharyngeal haemorrhage	17						bleeding from the back of the throat
3490	vulvovaginalerythema	Vulvovaginal erythema	17	C2748362	Vulvovaginal erythema	UMLS_API			A condition where the skin around the vagina is red and inflamed.
3491	dnaantibody	DNA antibody	17						a protein molecule that is produced in response to the presence of DNA within a cell.  DNA antibody is a protein that is produced in response to the presence of DNA within a cell. The antibody binds to the DNA, preventing it from being used to produce new proteins.
3492	injectionsitepallor	Injection site pallor	17	C1735322	Injection site pallor	UMLS_API			A condition characterized by a pale appearance of the skin at the injection site.
3493	prolongedlabour	Prolonged labour	17						labour that continues for more than 20 hours after the onset of labour
3494	poisoning	Poisoning	17	C0032343	Poisoning	UMLS_API		condition or physical state produced by the ingestion, injection or inhalation of, or exposure to a deleterious agent.	the act of deliberately poisoning someone.
3495	acutefebrileneutrophilicdermatosis	Acute febrile neutrophilic dermatosis	17						A cutaneous disorder characterized by sudden onset of fever, neutrophilic dermatosis, and histiocytic infiltration.
3496	endotrachealintubationcomplication	Endotracheal intubation complication	17	C0281803	Endotracheal intubation complication	UMLS_API			A complication associated with endotracheal intubation is defined as an event that occurs during or after the insertion of a tube into the trachea that results in an adverse patient outcome.
3497	perivasculardermatitis	Perivascular dermatitis	17	C0743089	Perivascular dermatitis	UMLS_API			A skin condition that is marked by inflammation and swelling that affects the tissues surrounding blood vessels.
3498	foetalnon-stresstestnormal	Foetal non-stress test normal	17	C3203631	Foetal non-stress test normal	UMLS_API			:  A fetal non-stress test (NST) is a test used to monitor the well-being of a fetus. Fetal NSTs are routinely used in the third trimester of pregnancy. A normal NST result indicates that the fetus is not in distress.
3499	polychromasia	Polychromasia	17	C0333942	Polychromasia	METAMAP_STRING_MATCH		The reaction of red cells to stain as indicated by the appearance of bluish or grayish colored erythrocytes.	The presence of a great number of colors in the tissue of a living organism.
3500	immunecomplexassay	Immune complex assay	17	C1261356	Immune complex assay	UMLS_API			A laboratory assay in which complexes between antibodies and antigens are detected. These complexes can be formed in vivo or in vitro, and can be used to detect the presence of antibodies or antigens in a sample.
3501	circadianrhythmsleepdisorder	Circadian rhythm sleep disorder	17	C0877792	Sleep Disorders, Circadian Rhythm	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99	Dyssomnias associated with disruption of the normal 24 hour sleep wake cycle secondary to travel (e.g., JET LAG SYNDROME), shift work, or other causes.	a sleep disorder characterized by a person's inability to maintain a regular sleep-wake schedule
3502	pneumothoraxspontaneous	Pneumothorax spontaneous	17						A pneumothorax is a medical emergency in which air accumulates in the pleural space, causing the thoracic cavity to collapse.
3503	csfglucose	CSF glucose	17						< 2 mmol/L  The definition of CSF glucose is < 2 mmol/L.
3504	skinbacterialinfection	Skin bacterial infection	17	C0162627	Skin Diseases, Bacterial	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	A cutaneous disorder attributed to a bacterial infection.	a disease or infection caused by bacteria on or under the skin.  Skin bacterial infection may refer to:
3505	myelopathy	Myelopathy	17						Myelopathy is a neurological disorder caused by damage to the spinal cord. This damage can interfere with the transmission of messages between the brain and the rest of the body. Symptoms can include pain, numbness, tingling, weakness, and problems with balance and coordination.
3506	trichorrhexis	Trichorrhexis	17	C0702163	Trichorrhexis	UMLS_API			A condition in which the hair shaft is weakened and breaks easily, often resulting in hair loss.
3507	lichenoidkeratosis	Lichenoid keratosis	17	C1274594	lichenoid keratosis	METAMAP_STRING_MATCH		A benign intraepidermal squamoproliferative neoplasm characterized by irregular acanthosis, hyperkeratosis, parakeratosis, and prominent chronic inflammation.	A skin disorder characterized by abnormally thickened patches of skin that have a lichen-like appearance.
3508	cornealoedema	Corneal oedema	17						:  A condition in which fluid accumulates in the cornea, the transparent front part of the eye. This can cause the cornea to swell and become cloudy.
3509	anti-neutrophilcytoplasmicantibodypositivevasculitis	Anti-neutrophil cytoplasmic antibody positive vasculitis	17	C0919818	Anti-neutrophil cytoplasmic antibody positive vasculitis	UMLS_API			a rare autoimmune disorder that causes inflammation and damage to the blood vessels.
3510	penisdisorder	Penis disorder	17						a medical condition that affects the penis.  Penis disorders can impact a man's ability to have an erection, ejaculate, or produce semen. They can also cause pain or discomfort in the penis. There are many different types of penis disorders, including:  penile curvature  erection problems  painful urination  painful ejaculation  premature ejaculation  male infertility  Treatment for penis disorders will vary depending on the specific condition. Options may include medication, surgery, or therapy.
3511	slit-lampexamination	Slit-lamp examination	17						A slit-lamp examination is a type of ophthalmoscopy that uses a slit of light to examine the interior of the eye. A magnifying lens is used to enlarge the image of the eye's structures.
3512	bronchialdisorder	Bronchial disorder	17						A bronchial disorder is a medical condition that affects the bronchi, which are the tubes that carry air to and from the lungs. Bronchial disorders can cause difficulty breathing and may be accompanied by coughing, wheezing, and chest congestion.
3513	phobia	Phobia	17						an irrational fear or dislike of something  A person who has a phobia of a certain thing may experience a feeling of terror or dread when they encounter that thing, and may go to great lengths to avoid it.
3514	hypoxic-ischaemicencephalopathy	Hypoxic-ischaemic encephalopathy	17	C0007786	Brain Ischemia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14		damage or death to the brain tissue caused by a lack of oxygen (hypoxia) and/or the inability of the blood to carry enough nutrients and oxygen to the brain cells (ischemia).
3515	anisocytosis	Anisocytosis	17	C0221278	Anisocytosis	UMLS_API		The presence of erythrocytes with excessive variation in size in the blood.	Anisocytosis is a medical condition in which the red blood cells are not all the same size.
3516	staphylococcalsepsis	Staphylococcal sepsis	17	C0152965	Staphylococcal sepsis	UMLS_API			a bacterial infection, most commonly with the staphylococcus aureus bacteria, that can lead to a serious, life-threatening condition.  Sepsis is a potentially life-threatening condition caused by a dysregulated host response to infection. It can lead to tissue damage, organ failure, and even death. Although any infection can lead to sepsis, the most common cause is bacterial infection. Staphylococcal sepsis is a specific type of sepsis caused by the staphylococcus aureus bacteria.
3517	abdominallymphadenopathy	Abdominal lymphadenopathy	17						Enlargement of the lymph nodes in the abdomen.
3518	cytokinetest	Cytokine test	17	C4087150	Cytokine test	UMLS_API			a blood test that measures the level of cytokines in the blood.
3519	smallintestinalresection	Small intestinal resection	17						Small intestinal resection is a surgical procedure in which a portion of the small intestine is removed.
3520	allergicrespiratorysymptom	Allergic respiratory symptom	17	C1504367	Allergic respiratory symptom	UMLS_API			A respiratory symptom that is caused by an allergic reaction.
3521	polycythaemia	Polycythaemia	17						the increase of red blood cells in the blood.
3522	eyelasersurgery	Eye laser surgery	17	C0743733	Eye laser surgery	UMLS_API		a kind of laser eye surgery	the surgical removal of the natural lens of the eye and its replacement with an artificial lens.  Eye laser surgery is a surgical procedure that is used to improve vision by removing the natural lens and replacing it with an artificial lens. This surgery is used to treat conditions such as cataracts, nearsightedness, and astigmatism.
3523	abortionthreatened	Abortion threatened	17						When a woman is threatened with abortion, it means that someone is threatening to take away her right to choose whether or not to have an abortion.
3524	albuminurine	Albumin urine	17						a urine test that is used to check for the presence of albumin in the urine. Albumin is a protein that is normally found in the blood. A high level of albumin in the urine may be a sign of a problem with the kidneys.
3525	hand-eyecoordinationimpaired	Hand-eye coordination impaired	17	C3495820	Hand-eye coordination impaired	UMLS_API			A person with hand-eye coordination impairment has difficulty controlling or coordinating the movement of their hands and eyes together. This may make activities such as writing, typing or using tools difficult.
3526	haematospermia	Haematospermia	17						the presence of blood in the semen.  Haematospermia means there is blood in the semen. This may cause pain and swelling in the genital area. It can also make it difficult to conceive a child.
3527	uppermotorneuronelesion	Upper motor neurone lesion	17	C0235834	Upper motor neurone lesion	UMLS_API			Damage to a nerve leading from the brain to the spinal cord (the upper motor neuron), causing problems with movement and muscle tone.
3528	pelvicdiscomfort	Pelvic discomfort	17	C1535975	Pelvic discomfort	UMLS_API			pain or discomfort in the pelvic area.  There are many possible causes of pelvic discomfort, including:  - Urinary tract infection - Pelvic inflammatory disease - Ovarian cyst - Endometriosis - Uterine fibroid - Pelvic congestion syndrome - Sexually transmitted infection - Miscarriage - Labor and childbirth - Gynecological cancer
3529	multipathogenpcrtest	Multipathogen PCR test	17	C4049499	Multipathogen PCR test	UMLS_API			A multipathogen PCR test is a diagnostic test that can identify a variety of different pathogens in a single sample. This test can be used to detect and diagnose a number of different infections, including bacterial, viral, and parasitic infections.
3530	urethralpain	Urethral pain	17						Urethral pain is pain that is felt at or near the urethra. The urethra is the tube that carries urine from the bladder to the outside of the body.
3531	nihstrokescale	NIH stroke scale	17	C1697238	NIH stroke scale	UMLS_API			The NIH Stroke Scale is a measure of the severity of a stroke. It is used to help guide treatment decisions and track the patient's progress.
3532	nightblindness	Night blindness	17						a deficiency in an individual's ability to see in low light or darkness.
3533	cerebralcongestion	Cerebral congestion	17	C4049258	Cerebral congestion	UMLS_API			An excessive accumulation of blood in the brain, typically causing headache, dizziness, and nausea.
3534	urinarybladderhaemorrhage	Urinary bladder haemorrhage	17						A haemorrhage or bleeding from the urinary bladder, usually caused by a ruptured blood vessel in the bladder wall. Symptoms include pain in the abdomen and blood in the urine.
3535	haemangiomaofskin	Haemangioma of skin	17						A haemangioma is a benign tumour made up of small blood vessels. It can occur anywhere on the body but is most commonly found on the skin.
3536	capillarydisorder	Capillary disorder	17						A capillary disorder is a medical condition that affects the small blood vessels in the body. These vessels are responsible for delivering nutrients and oxygen to the tissues and cells, and removing waste products. Capillary disorders can cause a variety of symptoms, including swelling, bruising, and redness. Treatment depends on the underlying cause of the disorder.
3537	eatingdisordersymptom	Eating disorder symptom	17	C0855228	Eating disorder symptom	UMLS_API		Abnormal eating behaviors, including binge eating, compulsive eating, emotional eating, night eating, and self-induced vomiting, though not at a level that rises to the diagnosis of eating disorder.	Any abnormal behavior associated with eating, such as overeating or undereating, dieting, purging, and binging.
3538	loosetooth	Loose tooth	17	C0600028	Loose tooth	UMLS_API			losing a tooth prematurely, especially one of the first permanent molars
3539	multimorbidity	Multimorbidity	17	C1535889	Multimorbidity	UMLS_API		The complex interactions of several co-existing diseases.	"having a number of chronic health conditions at the same time.  The term ""multimorbidity"" is used to describe the coexistence of two or more chronic diseases or conditions in a single patient. Multimorbidity is very common, with an estimated prevalence of 50% to 85% in community-dwelling adults.1-3 The most commonly occurring chronic diseases are hypertension, heart disease, and diabetes, which are each reported in approximately 25% to 30% of adults with multimorbidity.1-3 Other common chronic conditions include arthritis, chronic obstructive pulmonary disease (COPD), and"
3540	intentionalproductmisuse	Intentional product misuse	17	C3854347	Intentional product misuse	UMLS_API			when a person purposely uses a product in a way that is not recommended by the manufacturer in order to achieve a specific goal.  One example of intentional product misuse is using a product in a way that is not recommended by the manufacturer in order to achieve a specific goal, such as using a knife to open a can.
3541	gastrointestinaltractirritation	Gastrointestinal tract irritation	17						Gastrointestinal tract irritation is a term that refers to any type of inflammation or damage that occurs in the gastrointestinal tract. This can include any part of the stomach, small intestine, or large intestine.
3542	dehydroepiandrosteronetest	Dehydroepiandrosterone test	17	C1112245	Dehydroepiandrosterone test	UMLS_API			a blood or urine test to measure the level of the hormone dehydroepiandrosterone (DHEA).
3543	inferiorvenacavadilatation	Inferior vena cava dilatation	17	C2609156	Inferior vena cava dilatation	UMLS_API			The definition of Inferior vena cava dilatation is an enlargement of the diameter of the inferior vena cava.
